title,link,company,published_date,ai_summary,ai_topic,publisher,industry,publisher_topic
Decision of the Board of AB East West Agro to repurchase its own shares,https://view.news.eu.nasdaq.com/view?id=b3aaaf07f614806abc0bc45e9ba3f0312&lang=en&src=listed,East West Agro,2024-09-17 10:36:42+03:00,"In a thrilling play, East West Agro AB has announced a stock buyback! From September 23 to 27, they're set to scoop up 2,000 shares at €16 each, totaling €32,000. The market is heating up on Nasdaq Vilnius—don’t miss this exciting investment opportunity! 🎉💼",shares_issue,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b886984856b8a601b49cfc2e9a4b33f1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-17 10:00:00+03:00,"In a thrilling financial showdown, Nasdaq Tallinn announces the launch of Estonia's first public bond offering, scoring big with a staggering EUR 821 million demand—over four times the target! With 2 million bonds at 3% interest, retail investors are hitting the market hard. What a moment in Baltic finance!",bond_fixing,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b0bced9151d2a74d842e96c3cac875567&lang=en&src=notices,Nasdaq Riga,2024-09-17 10:00:00+03:00,"In a thrilling debut, the Republic of Estonia has made a monumental move on the Nasdaq Baltic Bond List, launching 2 million bonds worth €200 million! Oversubscribed by over four times with demand hitting €821 million, retail investors flocked in, securing a fixed 3% interest rate! What a game changer!",bond_fixing,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b6ea34c9ac1a17e5d449f38c916f37743&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 10:00:00+03:00,"In a thrilling financial showdown, Estonia makes history by listing its bonds on the Nasdaq Baltic! With a staggering EUR 821 million in demand for EUR 200 million in offerings, retail investors flocked to the action. A stellar start for Estonian bonds, boasting a 3% interest rate! Game on!",bond_fixing,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=be7cbbd802ad4f5193b5a90d4f1a88ba7&lang=en&src=listed,MADARA Cosmetics,2024-09-17 09:59:07+03:00,"In a thrilling update, AS MADARA Cosmetics showcases its commitment to sustainability as Manager Anete Vabule shares insider news! This leading Baltic beauty powerhouse, trading on Nasdaq First North since 2017, continues to shine in natural skincare, solidifying its spot as a Northern European champion! Don’t miss the excitement!",exchange_announcement,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 16, 2024",https://view.news.eu.nasdaq.com/view?id=b9757e675c410f1929d14b59f8cd4549d&lang=en&src=listed,Nter Asset Management,2024-09-17 09:25:37+03:00,"Ladies and gentlemen, we've got breaking news from Vilnius! The OMX Baltic Benchmark Fund's share price stood strong at €12.6154 as of September 16, with a solid 125,362 units adrift in the trading arena. No shares issued or redeemed today—staying steady in the game!",fund_data_announcement,Nasdaq Baltic,,
Purchase of own shares of AB ”East West Agro”,https://view.news.eu.nasdaq.com/view?id=b9063319535f3d6cdbc2b38dd471dda64&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 09:25:35+03:00,"""Get ready for the thrilling share buyback showdown! From September 23 to 27, AB 'East West Agro' is launching a race to secure up to 2,000 shares at €16 each. Place your orders by 15:30 EEST—this is a must-see event on the VSE Tender Offer stage!""",shares_issue,Nasdaq Baltic,,
J. Molner AS Consolidated interim report for the first 6 months of 2024 (unaudited),https://view.news.eu.nasdaq.com/view?id=b44e2e0b7fcdad0977558903f52754559&lang=en&src=listed,J.Molner,2024-09-17 09:00:00+03:00,"In a thrilling first half of 2024, J. Molner Group scores big with a staggering 382% revenue spike, raking in €1.3 million! The spotlight shines on their hydrocortisone butyrate topical solution and booming services across the U.S., Canada, and Europe. Plus, they clinched the first Estonian ANDA approval! Game on!",financial_results,Nasdaq Baltic,,
AS VIRŠI-A: A better price - the main criterion for choosing electricity services,https://view.news.eu.nasdaq.com/view?id=bc7d940204f55fb87b51951b4abd97da5&lang=en&src=listed,VIRŠI-A,2024-09-17 08:54:42+03:00,"In a stunning year of growth, Virši has surged to become Latvia's fourth-largest electricity supplier! With a winning focus on competitive pricing, they've electrified households despite declining market interest. Jānis Bethers reveals customers are sticking around for more than just savings—it's a thrilling showdown in the energy arena!",geographic_expansion,Nasdaq Baltic,,
LHV Group results for August 2024,https://view.news.eu.nasdaq.com/view?id=b25edbdb2b70238c9883d9c9f777ee3c0&lang=en&src=listed,LHV Group,2024-09-17 08:00:00+03:00,"In a thrilling August showdown, AS LHV Group blitzed past expectations with a staggering EUR 87 million boost in their loan portfolio and deposits soaring by EUR 254 million! With a net profit of EUR 12.2 million, it’s clear—client activity and strong home loans are fueling this financial powerhouse!",financial_results,Nasdaq Baltic,,
Subsidiary of EfTEN Real Estate Fund AS finalized the sale of a property in the Tähesaju commercial area,https://view.news.eu.nasdaq.com/view?id=b3ad40e3b4f48cbe1680b5f524bae9a14&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-17 08:00:00+03:00,"In a thrilling real estate showdown, EfTEN Tähesaju tee OÜ finalized the sale of Tähesaju 5 in Tallinn to AS Kinnisvara Info for €4.675 million! Despite a 7% dip from book value, they netted €2 million for new ventures and scored €300,000 in cash flow since 2018. Game on!",mergers_acquisitions,Nasdaq Baltic,,
Baltic Horizon Fund publishes its NAV for August 2024,https://view.news.eu.nasdaq.com/view?id=bd65da579bfd1a626d278c322cc0d4821&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 19:10:00+03:00,"In a thrilling August showdown, the Baltic Horizon Fund's net asset value slid slightly to EUR 0.8011, totaling EUR 95.8 million! With steady rental income of EUR 1 million and a new lease with EXPO Group for a massive entertainment center, the excitement ramps up! Stay tuned!",fund_data_announcement,Nasdaq Baltic,,
Listing of additional IPAS “INDEXO” shares on Baltic Main list,https://view.news.eu.nasdaq.com/view?id=b2eacbf5623f7fdf756ac47423626432a&lang=en&src=notices,Nasdaq Riga,2024-09-16 16:35:33+03:00,"In a thrilling move, Nasdaq Riga brings more action to the Baltic Main list! Starting September 17, 2024, additional shares of IPAS “INDEXO” will join the game alongside the existing roster. Stay tuned for what promises to be an electrifying stock market showdown!",shares_issue,Nasdaq Baltic,,
Estonian Financial Intelligence Unit's fine to LHV Pank cancelled by court order,https://view.news.eu.nasdaq.com/view?id=b09377698d71aa758abf3d271d76d7001&lang=en&src=listed,LHV Group,2024-09-16 16:30:00+03:00,"In a stunning turn of events, the Harju County Court has tossed out a hefty EUR 300,000 fine against AS LHV Pank! They're off the hook after finding no wrongdoing, while the Financial Intelligence Unit now has 15 days to reconsider. LHV Group continues to dominate Estonia's financial arena!",law_legal_issues,Nasdaq Baltic,,
Resolutions of the Extraordinary Meeting of Shareholders of AS DelfinGroup dated 16 September 2024,https://view.news.eu.nasdaq.com/view?id=b3e3a4e37aee86fa2f517b573d12eac37&lang=en&src=listed,DelfinGroup,2024-09-16 16:01:33+03:00,"In a thrilling corporate showdown, AS DelfinGroup clinches the approval of its interim report for Q2 2024! And there's more—extraordinary dividends of €916,625.60 are set to be paid out! Mark your calendars: Ex-date on September 27, dividend record date September 30, and payments drop October 1!",ex_dividend_date,Nasdaq Baltic,,
Comments from the management of ELMO Rent AS on the Restructuring Advisor's report,https://view.news.eu.nasdaq.com/view?id=b61350543f9bfa80e4ecb1508e2dc25d3&lang=en&src=listed,Elmo Rent,2024-09-16 13:26:15+03:00,"In a dramatic twist, ELMO Rent AS faces challenges in its restructuring game! The car rental business has hit a bump, with vehicles returning to leasing firms at lower prices than forecasted. Management admits the low season hindered their strategy, but watch out for a rebound as the 2024 rental season approaches!",financial_results,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=b63ef4eb8f0c9dbb53a12bbc356167bca&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 12:15:25+03:00,"In a thrilling showdown on September 16, 2024, the Nasdaq Vilnius hosted the primary placement auction for Lithuanian Government Eurobonds! Investors tuned in for a high-stakes competition, as Baltic exchanges showcased their prowess. Will these bonds become the big play in the financial game? Stay tuned!",bond_fixing,Nasdaq Baltic,,
Baltic Horizon Fund closes private placement of new units,https://view.news.eu.nasdaq.com/view?id=bfdeca259511c9e45c79ab9c82e8a856b&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 10:30:00+03:00,"In a thrilling move, Northern Horizon Capital AS clinched a spectacular EUR 6.29 million in a high-stakes private placement, captivating institutional investors across Europe! With demand soaring beyond maximum supply, 23,927,085 new units will fuel powerhouse investments and boost the Baltic Horizon Fund's real estate portfolio. Game on!",shares_issue,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b1138a581ed7a89086c52c9df21a210ab&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 10:00:00+03:00,"In a thrilling market showdown, Modera's bonds have officially joined the Nasdaq Baltic First North arena! With €1.5 million at stake and an impressive 11% coupon rate, demand soared—oversubscribed 1.8 times! This listing underscores Modera's powerful presence since 2021. Watch out, investors—it's game on!",bond_fixing,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=bbe9db8c7632f052fb08b3335e0dd5d8a&lang=en&src=notices,Nasdaq Riga,2024-09-16 10:00:00+03:00,"Ladies and gentlemen, get ready for an exciting financial showdown! Modera's $1.5 million bonds hit the Nasdaq Baltic First North market today! With a sizzling 11% fixed annual coupon and oversubscription proving investor confidence, Modera's victory lap continues on the bond stage! Game on!",bond_fixing,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b2a2aa36dfe18c6687aa3113144f431ec&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 10:00:00+03:00,"In an exciting turn of events at Nasdaq Baltic, Modera's unsecured bonds hit the market today, raising €1.5 million! With an impressive 11% fixed annual coupon and massive demand, they were 1.8 times oversubscribed! More than 700 investors are on board as Modera strengthens its market presence! ",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 13, 2024",https://view.news.eu.nasdaq.com/view?id=b583b74e0b2de3b150570173f6e9c0350&lang=en&src=listed,Nter Asset Management,2024-09-16 09:52:01+03:00,"And we’re off! The OMX Baltic Benchmark Fund clocked in at 12.6099 EUR on September 13, with a thrilling lineup of 125,362 shares still in play! No new shares issued or redeemed, but the excitement is palpable! Stay tuned for the next move in this investment arena!",fund_data_announcement,Nasdaq Baltic,,
The Shareholders' Meeting of Latvenergo AS will be held,https://view.news.eu.nasdaq.com/view?id=b67909f2a2a69f0f3825f1bdf07a33bfa&lang=en&src=listed,Latvenergo,2024-09-16 09:51:27+03:00,"In a thrilling twist, Latvenergo AS has postponed its Extraordinary Shareholders' Meeting from September 16 to September 17 at 17:00! The excitement builds as this top energy player in the Baltics gears up for crucial decisions. Stay tuned, folks—lightning just got a little more suspenseful!",calendar_of_events,Nasdaq Baltic,,
AB East West Agro purchased it's own shares,https://view.news.eu.nasdaq.com/view?id=b977dba1868f80e15c35ba7703a9bb084&lang=en&src=listed,East West Agro,2024-09-16 09:33:23+03:00,"In a thrilling showdown at the Nasdaq Vilnius, AB East West Agro hosted a nail-biting auction from September 9-13, 2024, for its own shares! The excitement peaked as Chairman Danas Šidlauskas stepped up to the plate. Stay tuned for the results! ",shares_issue,Nasdaq Baltic,,
Aktsiaselts Infortar signed a share purchase agreement to acquire a 100% shareholding at Tallinna Raamatutrükikoja Osaühing,https://view.news.eu.nasdaq.com/view?id=bcb5b6c48fb84c1fef980100a67f386a9&lang=en&src=listed,Infortar,2024-09-16 09:30:00+03:00,"In a thrilling takeover, Aktsiaselts Infortar and ViroInvestment OÜ ink a deal to grab 100% of Tallinna Raamatutrükikoja! With approvals pending, this strategic move aims to boost efficiency in the printing powerhouse, known for cranking out 5 million books a year. Big plays in the market ahead!",mergers_acquisitions,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=bc7f58366f875ec3efb23e224f8327ada&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:15:00+03:00,"Get ready for the excitement! Starting September 2, 2024, AS DelfinGroup launches its public bond offering! With up to 150,000 bonds at €100 each and a thrilling 10% annual interest, investors in the Baltics won’t want to miss this opportunity! The action closes September 16—let's go!",bond_fixing,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b446d41b912d3e7e7fa81029668ba7278&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:15:00+03:00,"Get ready for a thrilling financial showdown! Starting September 2, 2024, AS DelfinGroup launches its bond subscription, offering up to 150,000 bonds at €100 each—featuring a sizzling 10% interest! The clock’s ticking to secure your stake by September 16. Invest smart, folks!",bond_fixing,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b411ff39e6273a2c15e3205cb548f6f5e&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:15:00+03:00,"Ladies and gentlemen, the countdown is on! Starting September 2, 2024, it’s game time for AS DelfinGroup's bond frenzy! Secure your seat in the ring with a minimum bid of just EUR 100 for a chance at a 10% interest kick! Don’t wait—bonds are flying fast until September 16!",bond_fixing,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bf963473d18cc3a655636caadb6014b1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:00:00+03:00,"Ladies and gentlemen, mark your calendars! The Nasdaq Baltic arena is alive and kicking! Stay on the edge of your seats for all the latest moves and updates from Tallinn, Riga, and Vilnius! Don’t miss out—catch the investor calendar for every thrilling play! 🏅📈",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bb135cbf5684b34991e7db1890261c689&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:00:00+03:00,"Welcome to Riga, Latvia! The Nasdaq Baltic is in the spotlight, bringing investors the latest updates from its vibrant exchanges. Tune in for exciting market action across Estonia, Latvia, and Lithuania! Don't miss out—check the full calendar and get in the game!",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=b4c7b72b1ce8bba836d1836a0c63d5890&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:00:00+03:00,"Ladies and gentlemen, mark your calendars! Nasdaq Baltic is heating up! Join the action in Vilnius as they unveil the latest investor calendar on September 16th. Catch the excitement from Estonia to Latvia—this is where trading legends are made! Don't miss out!",financial_calendar,Nasdaq Baltic,,
Bigbank AS results for August 2024,https://view.news.eu.nasdaq.com/view?id=b5f3e71dfd488e2757de5faa90c239af6&lang=en&src=listed,Bigbank AS,2024-09-13 23:15:00+03:00,"“August was a blockbuster month for Bigbank! They shattered records with their loan portfolio soaring past 2 billion euros and home loans topping 500 million! Despite a slight dip in business loans, the falling Euribor brings clients relief and a rush for short-term fixed deposits. Exciting times ahead!”",financial_results,Nasdaq Baltic,,
PRANEŠIMAS DĖL BENDROVĖS 2024 m. I PUSMEČIO TARPINĖS FINANSINĖS ATSKAITOMYBĖS,https://view.news.eu.nasdaq.com/view?id=b9e8bc1d9fd1bd425bdac0340edf520da&lang=lt&src=listed,Integre Trans,2024-09-13 19:14:30+03:00,"In a thrilling turn of events, UAB “Integre trans” commits to keep investors in the loop! With the release of their interim financial reports set, fans await the blockbuster consolidated results, pending the completion of last year’s audit. Stay tuned as the financial drama unfolds!",financial_results,Nasdaq Baltic,,
AB Kauno energija has signed a loan agreement with the European Investment Bank,https://view.news.eu.nasdaq.com/view?id=bed160b94268f03ac470cd5b396384c36&lang=en&src=listed,Kauno Energija,2024-09-13 17:00:00+03:00,"In a game-changing move, AB Kauno energija clinches a €35 million long-term loan from the European Investment Bank! From 2024-2026, they’ll supercharge energy efficiency, modernize pipelines, and roll out cutting-edge renewable technologies. Buckle up for a greener, sustainable future—this match is just heating up!",financing_agreements,Nasdaq Baltic,,
Decisions adopted at the Extraordinary General Meeting of Shareholders of LITGRID AB,https://view.news.eu.nasdaq.com/view?id=b3d3d87d5a7fed44653a68122d9cdd376&lang=en&src=listed,LITGRID,2024-09-13 16:00:00+03:00,"In a thrilling showdown at the Extraordinary General Meeting, LITGRID AB clinched a monumental victory! On September 13, 2024, they approved a critical financial investment for the groundbreaking Harmony Link Interconnector project, teaming up with Poland's PSE S.A. Get ready for a high-voltage future in energy transmission!",capital_investment,Nasdaq Baltic,,
Changes in the debt obligations of AS Tallinna Sadam,https://view.news.eu.nasdaq.com/view?id=b3d014562c9a9b2a4fce2a3d320b4f917&lang=en&src=listed,Tallinna Sadam,2024-09-13 16:00:00+03:00,"In a bold move, AS Tallinna Sadam has signed a €10 million loan with AS Swedbank! With a flexible draw period until 2024 and a maturity of 2028, this financial play aims to bolster debt refinancing and fuel ambitious investments. The Baltic shipping arena's powerhouse is gearing up for a surge!",financing_agreements,Nasdaq Baltic,,
"Eco Baltia Group's company, Eco Baltia vide, will provide maintenance of transport structures in Riga for five years",https://view.news.eu.nasdaq.com/view?id=bd7543e43b891d60dcc4ed8f77368257b&lang=en&src=listed,Eco Baltia,2024-09-13 15:45:34+03:00,"In a thrilling match-up for urban infrastructure, Eco Baltia vide Ltd has clinched a five-year contract to maintain Riga's vital transport structures! The Riga City Council recognized their decades of excellence, with a yearly deal worth over €15 million. Eco Baltia is set to play a key role in keeping Riga moving!",business_contracts,Nasdaq Baltic,,
Announcement on changes in management of a subsidiary company,https://view.news.eu.nasdaq.com/view?id=b96f58cc7d7723afc71d276106cc15350&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-13 15:34:11+03:00,"In a thrilling corporate shakeup, Andrejs Visnausks steps up as Chairman of AS ""Amber Latvijas balzams”! With Guntars Betlers still in the game as a Board Member, this dynamic duo is set to take the company to new heights! Stay tuned for the exciting plays ahead!",management_change,Nasdaq Baltic,,
Moody's affirms Latvenergo AS rating,https://view.news.eu.nasdaq.com/view?id=b18b7fe811d46a4744fadd581bd92447b&lang=en&src=listed,Latvenergo,2024-09-13 15:10:25+03:00,"In a thrilling energy showdown, Latvenergo AS stands strong with a Baa2 credit rating from Moody’s! This investment-grade powerhouse, rated since 2004, continues to attract favorable financing, fueling its dominance in the Baltics. Stay tuned for Moody's upcoming insights next week—could a ratings boost be in the cards?",analyst_coverage,Nasdaq Baltic,,
Notification of Changes to the Management Board of AS “Amber Latvijas balzams”,https://view.news.eu.nasdaq.com/view?id=b0efe1e976f40c05ad5f75f9db2e7e4c5&lang=en&src=listed,Amber Latvijas balzams,2024-09-13 14:05:54+03:00,"In an electrifying turn of events, ""Amber Latvijas balzams"" scores big by appointing Andrejs Visnausks as their new Chairman! With a stellar track record of boosting revenues and operational efficiency, he's ready to lead. Former Chairman Guntars Betlers stays in the game, while Valizhan Abidov steps out. Game on!",management_change,Nasdaq Baltic,,
"NOTIFICATION OF NEO FINANCE, AB REGARDING TRANSACTIONS CONDUCTED BY PERSONS CLOSELY ASSOCIATED WITH PERSONS DISCHARGING MANAGERIAL RESPONSIBILITIES WITHIN AN ISSUER",https://view.news.eu.nasdaq.com/view?id=ba54cbd5706cb3c5f92fc525109635579&lang=en&src=listed,NEO Finance,2024-09-13 13:00:00+03:00,"In a gripping turn of events, NEO FINANCE, AB clocked a notification from UAB „ERA Capital“—linked to managerial power players Evaldas and Aiva Remeikis! This tactical move shakes up the finance game. Stay tuned for the play-by-play!",regulatory_filings,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 12, 2024",https://view.news.eu.nasdaq.com/view?id=be3ef0fc401ea86cd662d7d5993a37a6e&lang=en&src=listed,Nter Asset Management,2024-09-13 11:01:16+03:00,"""Exciting day in Vilnius! The OMX Baltic Benchmark Fund hits a share price of 12.6326 EUR with 125,362 shares ready for action! No shares issued or redeemed, but the crowd is buzzing with anticipation! Stay tuned for more thrilling updates from Nter Asset Management!""",fund_data_announcement,Nasdaq Baltic,,
