title,link,company,published_date,ai_summary,ai_topic,source,industry,publisher_topic
Decision of the Board of AB East West Agro to repurchase its own shares,https://view.news.eu.nasdaq.com/view?id=b3aaaf07f614806abc0bc45e9ba3f0312&lang=en&src=listed,East West Agro,2024-09-17 10:36:42+03:00,"In an electrifying move, East West Agro AB gears up for a thrilling share repurchase from September 23-27! With a bold plan to buy back 2,000 shares at €16 each, they're set to make a €32,000 play on the Nasdaq Vilnius Stock Exchange! Excitement is in the air!",shares_issue,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b886984856b8a601b49cfc2e9a4b33f1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-17 10:00:00+03:00,"In a thrilling debut on the Nasdaq Baltic Bond List, Estonia scores big with a public bond offer, reeling in an overwhelming EUR 821 million in demand—over four times the target! With 2 million bonds up for grabs, retail investors are ready to trade at a solid 3% interest. What a game changer!",bond_fixing,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b0bced9151d2a74d842e96c3cac875567&lang=en&src=notices,Nasdaq Riga,2024-09-17 10:00:00+03:00,"Ladies and gentlemen, mark your calendars! On September 17, 2024, the Republic of Estonia made a historic play, listing its bonds on Nasdaq Baltic! With a staggering demand of EUR 821 million against a EUR 200 million offering, this game was oversubscribed by more than four times! Exciting times ahead!",bond_fixing,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b6ea34c9ac1a17e5d449f38c916f37743&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 10:00:00+03:00,"In an exhilarating financial showdown, the Republic of Estonia made waves in the Nasdaq Baltic Market! With a stunning bond offering generating a jaw-dropping EUR 821 million in demand, oversubscribed by over four times, retail investors joined the action, securing a solid 3% return. It's a win for Estonian investors!",bond_fixing,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=be7cbbd802ad4f5193b5a90d4f1a88ba7&lang=en&src=listed,MADARA Cosmetics,2024-09-17 09:59:07+03:00,"🎉 Game on! AS MADARA Cosmetics is in the spotlight as Sustainability Manager Anete Vabule announces exciting securities transactions! With shares trading on Nasdaq Baltic’s First North Market since 2017, this cosmetics powerhouse is redefining natural skincare in Northern Europe. Stay tuned for more action from MADARA! 🧴🌍",exchange_announcement,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 16, 2024",https://view.news.eu.nasdaq.com/view?id=b9757e675c410f1929d14b59f8cd4549d&lang=en&src=listed,Nter Asset Management,2024-09-17 09:25:37+03:00,"In a thrilling update from Vilnius, the OMX Baltic Benchmark Fund is holding strong at 12.6154 EUR with a steady lineup of 125,362 shares. No movement in redemptions or new issues—it’s a game of patience! Stay tuned for more action! 🏅📈",fund_data_announcement,Nasdaq Baltic,,
Purchase of own shares of AB ”East West Agro”,https://view.news.eu.nasdaq.com/view?id=b9063319535f3d6cdbc2b38dd471dda64&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 09:25:35+03:00,"Get ready for the action! From September 23 to 27, 2024, AB ""East West Agro"" launches an electrifying shares buyback, priced at €16.00! With orders open until 15:30 EEST and a cap of 2,000 shares, don’t miss your shot in this thrilling market showdown!",shares_issue,Nasdaq Baltic,,
J. Molner AS Consolidated interim report for the first 6 months of 2024 (unaudited),https://view.news.eu.nasdaq.com/view?id=b44e2e0b7fcdad0977558903f52754559&lang=en&src=listed,J.Molner,2024-09-17 09:00:00+03:00,"In a thrilling first half of 2024, J. Molner AS skyrockets with a jaw-dropping 382% revenue surge to €1.3 million! Fueled by success in the hydrocortisone market and robust growth in services, this Group's unstoppable momentum rolls on, clinching their first US drug approval! What a comeback!",financial_results,Nasdaq Baltic,,
AS VIRŠI-A: A better price - the main criterion for choosing electricity services,https://view.news.eu.nasdaq.com/view?id=bc7d940204f55fb87b51951b4abd97da5&lang=en&src=listed,VIRŠI-A,2024-09-17 08:54:42+03:00,"In an electrifying year, AS Virši-A transformed the household energy game, now ranking fourth in suppliers! Latvians are focused on price, but the loyalty of customers shines through, proving that Virši is not just a trader but a trusted partner in power.  Watch out for this rising star!",geographic_expansion,Nasdaq Baltic,,
LHV Group results for August 2024,https://view.news.eu.nasdaq.com/view?id=b25edbdb2b70238c9883d9c9f777ee3c0&lang=en&src=listed,LHV Group,2024-09-17 08:00:00+03:00,"In August, LHV Group surged with a stellar loan portfolio spike of €87 million! Deposits soared by €254 million, propelling net profits to a thrilling €12.2 million! With client growth, robust home loans, and energetic performance, LHV is on fire—showcasing dynamic banking like never before!",financial_results,Nasdaq Baltic,,
Subsidiary of EfTEN Real Estate Fund AS finalized the sale of a property in the Tähesaju commercial area,https://view.news.eu.nasdaq.com/view?id=b3ad40e3b4f48cbe1680b5f524bae9a14&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-17 08:00:00+03:00,"In an exciting real estate showdown, EfTEN Tähesaju OÜ has sealed the deal, selling the Tähesaju 5 property to AS Kinnisvara Info for €4.675 million! Despite a slight dip from book value, the fund nets €2 million for future investments after generating €300,000 in cash flow since 2018. Game on!",mergers_acquisitions,Nasdaq Baltic,,
Baltic Horizon Fund publishes its NAV for August 2024,https://view.news.eu.nasdaq.com/view?id=bd65da579bfd1a626d278c322cc0d4821&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 19:10:00+03:00,"In an exhilarating August, the Baltic Horizon Fund's NAV dipped slightly to EUR 0.8011, but the excitement building with new leases keeps the momentum flowing! A thrilling interactive entertainment center is set to launch with EXPO Group! Cash remains strong at EUR 3.9 million. Stay tuned for more action!",fund_data_announcement,Nasdaq Baltic,,
Listing of additional IPAS “INDEXO” shares on Baltic Main list,https://view.news.eu.nasdaq.com/view?id=b2eacbf5623f7fdf756ac47423626432a&lang=en&src=notices,Nasdaq Riga,2024-09-16 16:35:33+03:00,"In a thrilling move, Nasdaq Riga has officially added more shares of IPAS “INDEXO” to the Baltic Main list, starting September 17, 2024! The excitement is palpable as this dynamic addition boosts the market! Stay tuned for more thrilling developments from Nasdaq Baltic!",shares_issue,Nasdaq Baltic,,
Estonian Financial Intelligence Unit's fine to LHV Pank cancelled by court order,https://view.news.eu.nasdaq.com/view?id=b09377698d71aa758abf3d271d76d7001&lang=en&src=listed,LHV Group,2024-09-16 16:30:00+03:00,"In a stunning turn of events, the Harju County Court has thrown out the EUR 300,000 fine against AS LHV Pank, declaring victory due to lack of evidence! The Financial Intelligence Unit now faces a tough 15-day challenge to appeal. LHV Group stands tall as Estonia's financial titan, serving over 437,000 clients!",law_legal_issues,Nasdaq Baltic,,
Resolutions of the Extraordinary Meeting of Shareholders of AS DelfinGroup dated 16 September 2024,https://view.news.eu.nasdaq.com/view?id=b3e3a4e37aee86fa2f517b573d12eac37&lang=en&src=listed,DelfinGroup,2024-09-16 16:01:33+03:00,"In a thrilling corporate showdown, AS DelfinGroup flexes its financial muscle! They've just approved their interim report for January-June 2024 and are dishing out extraordinary dividends totaling a whopping EUR 916,625.60! Mark your calendars for September 27th, the countdown to cash begins!",ex_dividend_date,Nasdaq Baltic,,
Comments from the management of ELMO Rent AS on the Restructuring Advisor's report,https://view.news.eu.nasdaq.com/view?id=b61350543f9bfa80e4ecb1508e2dc25d3&lang=en&src=listed,Elmo Rent,2024-09-16 13:26:15+03:00,"In a dramatic turn of events, ELMO Rent AS wraps up its car rental saga as vehicles hit the auction block below expectations! The restructuring report reveals challenges ahead, with management scrambling to revitalize the fleet for the upcoming season amidst a sluggish electric vehicle market. Can they bounce back? Stay tuned!",restructuring,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=b63ef4eb8f0c9dbb53a12bbc356167bca&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 12:15:25+03:00,"In a thrilling showdown at Nasdaq Vilnius on September 16, the Lithuanian Government premiered its Eurobonds! Traders were on the edge of their seats as the auction unfolded, showcasing Baltic's robust financial arena. Stay tuned for the results as these bonds hit the market!",bond_fixing,Nasdaq Baltic,,
Baltic Horizon Fund closes private placement of new units,https://view.news.eu.nasdaq.com/view?id=bfdeca259511c9e45c79ab9c82e8a856b&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 10:30:00+03:00,"Northern Horizon Capital AS scores big, raising EUR 6.29 million in a hot private placement! With investor excitement peaking and orders surpassing supply, 23.9 million new units will bolster Baltic Horizon Fund’s real estate investments. The crowd's roaring—it's a game-changer for the fund's future!",share_capital_increase,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b1138a581ed7a89086c52c9df21a210ab&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 10:00:00+03:00,"Ladies and gentlemen, in an electrifying move, Modera's unsecured bonds have made their debut on the Nasdaq Baltic First North market! With a sizzling €1.5 million issue and an impressive 11% coupon rate, the demand has skyrocketed—oversubscribed 1.8 times! The excitement is palpable—Modera is on the rise!",bond_fixing,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=bbe9db8c7632f052fb08b3335e0dd5d8a&lang=en&src=notices,Nasdaq Riga,2024-09-16 10:00:00+03:00,"In a thrilling debut, Modera's bonds hit the Nasdaq Baltic First North market, securing a hefty 1.5 million euros with an enticing 11% coupon! Oversubscribed by eager investors, this powerhouse continues its winning streak since 2021. Get ready for a race to maturity on September 13, 2027!",bond_fixing,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b2a2aa36dfe18c6687aa3113144f431ec&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 10:00:00+03:00,"In a thrilling development on the Nasdaq Baltic front, Modera's unsecured bonds hit the market today! With a hefty €1.5 million issue, boasting an 11% coupon rate, these bonds are hot property—oversubscribed by 1.8 times! A triumphant moment for investors and a solid play for growth!",bond_fixing,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 13, 2024",https://view.news.eu.nasdaq.com/view?id=b583b74e0b2de3b150570173f6e9c0350&lang=en&src=listed,Nter Asset Management,2024-09-16 09:52:01+03:00,"Ladies and gentlemen, we’ve got a thrilling update from Vilnius! The OMX Baltic Benchmark Fund is in play with a share price hitting 12.6099 EUR and a total of 125,362 units in the game! No shares issued or redeemed this round, but stay tuned for the next play!",fund_data_announcement,Nasdaq Baltic,,
The Shareholders' Meeting of Latvenergo AS will be held,https://view.news.eu.nasdaq.com/view?id=b67909f2a2a69f0f3825f1bdf07a33bfa&lang=en&src=listed,Latvenergo,2024-09-16 09:51:27+03:00,"In a thrilling twist, Latvenergo AS’s Extraordinary Shareholders' Meeting has been rescheduled! Fans will now tune in on September 17 at 17:00 for what promises to be an electrifying showdown in the Baltic energy arena. Stay tuned, because this powerhouse is just getting started!",exchange_announcement,Nasdaq Baltic,,
AB East West Agro purchased it's own shares,https://view.news.eu.nasdaq.com/view?id=b977dba1868f80e15c35ba7703a9bb084&lang=en&src=listed,East West Agro,2024-09-16 09:33:23+03:00,"In an electrifying week from September 9-13, AB East West Agro wowed investors at the Nasdaq Vilnius auction! With the stakes high, Chairman Danas Šidlauskas led the charge. What a thrilling display of shareholder fervor! Stay tuned for the next chapter in this exciting saga!",shares_issue,Nasdaq Baltic,,
Aktsiaselts Infortar signed a share purchase agreement to acquire a 100% shareholding at Tallinna Raamatutrükikoja Osaühing,https://view.news.eu.nasdaq.com/view?id=bcb5b6c48fb84c1fef980100a67f386a9&lang=en&src=listed,Infortar,2024-09-16 09:30:00+03:00,"In a thrilling acquisition showdown, Aktsiaselts Infortar and ViroInvestment OÜ have signed a deal to snag 100% of Tallinna Raamatutrükikoja Osaühing! With regulatory approval on the line, this powerhouse move could boost efficiency in the printing industry and bolster market positions both locally and globally!",mergers_acquisitions,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=bc7f58366f875ec3efb23e224f8327ada&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:15:00+03:00,"Get ready for the thrill! From September 2nd to 16th, AS DelfinGroup launches a high-stakes bond offer! Up to 150,000 bonds available at just EUR 100 each, boasting a 10% annual interest rate! Don't miss your chance—this could be your winning investment!",bond_fixing,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b446d41b912d3e7e7fa81029668ba7278&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:15:00+03:00,"Get ready for the financial showdown! Starting September 2, 2024, AS DelfinGroup launches a thrilling public bond offering in the Baltics! With a 10% interest rate and a minimum entry of just €100, don’t miss your chance to grab one of 150,000 bonds before the deadline on September 16!",bond_fixing,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b411ff39e6273a2c15e3205cb548f6f5e&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:15:00+03:00,"Ladies and gentlemen, mark your calendars! From September 2nd to 16th, 2024, AS DelfinGroup launches a thrilling public offer for 150,000 bonds at €100 each! With a hot 10% interest rate, this is your chance to invest in the Baltic buzz! Don't miss out—get in the game!",bond_fixing,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bf963473d18cc3a655636caadb6014b1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:00:00+03:00,"🎉 In an electrifying showdown in Tallinn, Estonia, Nasdaq Baltic announces major market moves! Investors, gear up for the action! For the full investor calendar and contact details, check the links. It's game time for the Baltic exchanges! 📈💥 #MarketMadness #InvestSmart",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bb135cbf5684b34991e7db1890261c689&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:00:00+03:00,"""Get ready for some thrilling action in Riga, Latvia! Nasdaq Baltic is taking center stage as it showcases its investor calendar! Exciting opportunities await in the heart of the Baltic markets. Don’t miss out—join the financial game now!""",financial_calendar,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=b4c7b72b1ce8bba836d1836a0c63d5890&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:00:00+03:00,"Ladies and gentlemen, it’s game time in Vilnius! Mark your calendars for September 16th as Nasdaq Baltic gears up for an exhilarating lineup of investor events! The Baltic exchanges are ready to bring it—stay tuned for all the action at Nasdaq Tallinn, Riga, and Vilnius! ",financial_calendar,Nasdaq Baltic,,
Bigbank AS results for August 2024,https://view.news.eu.nasdaq.com/view?id=b5f3e71dfd488e2757de5faa90c239af6&lang=en&src=listed,Bigbank AS,2024-09-13 23:15:00+03:00,"What a game-changer for Bigbank in August! They scored big with a loan portfolio hitting 2 billion euros and home loans exceeding 500 million! Despite a slight dip in business loans, the plummeting Euribor gives clients a break while reshaping the banking landscape. Exciting times ahead! 🏦💥",financial_results,Nasdaq Baltic,,
PRANEŠIMAS DĖL BENDROVĖS 2024 m. I PUSMEČIO TARPINĖS FINANSINĖS ATSKAITOMYBĖS,https://view.news.eu.nasdaq.com/view?id=b9e8bc1d9fd1bd425bdac0340edf520da&lang=lt&src=listed,Integre Trans,2024-09-13 19:14:30+03:00,"In a thrilling update, UAB ""Integre trans"" is gearing up to announce its 2024 H1 interim financials! But the suspense continues as the consolidated reports await the final audit of 2023. Investors, stay tuned for the action-packed results that promise to deliver crucial insights!",financial_results,Nasdaq Baltic,,
AB Kauno energija has signed a loan agreement with the European Investment Bank,https://view.news.eu.nasdaq.com/view?id=bed160b94268f03ac470cd5b396384c36&lang=en&src=listed,Kauno Energija,2024-09-13 17:00:00+03:00,"In a game-changing move, AB Kauno energija secures a stunning 35 million EUR loan from the European Investment Bank! From 2024 to 2026, they’ll supercharge energy efficiency with modernized pipelines, new heating lines, and innovative green tech, all while cutting fossil fuel use. Let the sustainability showdown begin!",financing_agreements,Nasdaq Baltic,,
Decisions adopted at the Extraordinary General Meeting of Shareholders of LITGRID AB,https://view.news.eu.nasdaq.com/view?id=b3d3d87d5a7fed44653a68122d9cdd376&lang=en&src=listed,LITGRID,2024-09-13 16:00:00+03:00,"In an electrifying showdown, LITGRID AB's Extraordinary General Meeting rolls into action! On September 13, 2024, they seal the deal on a crucial investment for the Harmony Link Interconnector. This bold move paves the way for a groundbreaking overland link, energizing Lithuania's future! Let the connectivity commence!",capital_investment,Nasdaq Baltic,,
Changes in the debt obligations of AS Tallinna Sadam,https://view.news.eu.nasdaq.com/view?id=b3d014562c9a9b2a4fce2a3d320b4f917&lang=en&src=listed,Tallinna Sadam,2024-09-13 16:00:00+03:00,"In a high-stakes financial play, AS Tallinna Sadam secures a €10 million unsecured loan from Swedbank, set to boost operations over the next four years! This strategic move is aimed at refinancing debt and powering investments, solidifying its status as a titan in the Baltic maritime game!",financing_agreements,Nasdaq Baltic,,
"Eco Baltia Group's company, Eco Baltia vide, will provide maintenance of transport structures in Riga for five years",https://view.news.eu.nasdaq.com/view?id=bd7543e43b891d60dcc4ed8f77368257b&lang=en&src=listed,Eco Baltia,2024-09-13 15:45:34+03:00,"In an electrifying move, Eco Baltia vide Ltd clinches a five-year contract to maintain Riga's transport structures! With a hefty annual price tag of over €15.4 million, this powerhouse showcases their decades of expertise, promising top-notch roadway management from 2024 to 2029. It's game on for sustainable transport!",business_contracts,Nasdaq Baltic,,
Announcement on changes in management of a subsidiary company,https://view.news.eu.nasdaq.com/view?id=b96f58cc7d7723afc71d276106cc15350&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-13 15:34:11+03:00,"In a thrilling leadership shake-up, Andrejs Visnausks takes the helm as Chairman of AS “Amber Latvijas balzams,” while former chairman Guntars Betlers stays in the game as a board member! Get ready for an exciting era of growth and innovation with this powerhouse duo!",management_change,Nasdaq Baltic,,
Moody's affirms Latvenergo AS rating,https://view.news.eu.nasdaq.com/view?id=b18b7fe811d46a4744fadd581bd92447b&lang=en&src=listed,Latvenergo,2024-09-13 15:10:25+03:00,"In a thrilling financial showdown, Latvenergo AS holds steady with a Baa2 investment-grade credit rating! Moody's will deliver their verdict next week, but this powerhouse has been a stable player since 2015, proving its worth in energy markets. Will the momentum continue? Stay tuned!",analyst_coverage,Nasdaq Baltic,,
Notification of Changes to the Management Board of AS “Amber Latvijas balzams”,https://view.news.eu.nasdaq.com/view?id=b0efe1e976f40c05ad5f75f9db2e7e4c5&lang=en&src=listed,Amber Latvijas balzams,2024-09-13 14:05:54+03:00,"In a thrilling leadership shakeup, ""Amber Latvijas balzams"" taps Andrejs Visnausks as their new Chairman! With a stellar track record in corporate management and degrees from top institutions, he's primed to drive growth and efficiency. Guntars Betlers stays on as a Board Member, while Valizhan Abidov exits the arena. Game on!",management_change,Nasdaq Baltic,,
"NOTIFICATION OF NEO FINANCE, AB REGARDING TRANSACTIONS CONDUCTED BY PERSONS CLOSELY ASSOCIATED WITH PERSONS DISCHARGING MANAGERIAL RESPONSIBILITIES WITHIN AN ISSUER",https://view.news.eu.nasdaq.com/view?id=ba54cbd5706cb3c5f92fc525109635579&lang=en&src=listed,NEO Finance,2024-09-13 13:00:00+03:00,"In a thrilling move, NEO FINANCE, AB is in the spotlight as UAB ""ERA Capital,"" linked to key figures Evaldas and Aiva Remeikienė, draws attention with significant transactions! The drama unfolds—stay tuned for what unfolds next in this high-stakes financial showdown!",regulatory_filings,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 12, 2024",https://view.news.eu.nasdaq.com/view?id=be3ef0fc401ea86cd662d7d5993a37a6e&lang=en&src=listed,Nter Asset Management,2024-09-13 11:01:16+03:00,"Ladies and gentlemen, breaking news from Vilnius! As of September 12, 2024, the OMX Baltic Benchmark Fund is holding steady at 12.6326 EUR with zero shares issued or redeemed! A total of 125,362 units are still in play, ready for action! Stay tuned for more on this thrilling market game!",fund_data_announcement,Nasdaq Baltic,,
